kind,pattern,control,bound,N,value,sample_size
distance,twin,prime,27,300000,0.01611309449430591,2994
distance,twin,prime_non_twin,27,300000,0.018210325503998204,2994
distance,twin,admissible_210,27,300000,0.015332951124865704,2994
distance,twin,admissible_2310,27,300000,0.015336301684010347,2994
filter_mass,twin,"14,23,61,89",27,300000,0.61055444221776889,2994
distance,twin,prime,89,300000,0.031568361685225019,2994
distance,twin,prime_non_twin,89,300000,0.035677202918349547,2994
distance,twin,admissible_210,89,300000,0.033089804757171506,2994
distance,twin,admissible_2310,89,300000,0.032469369494398909,2994
filter_mass,twin,"14,23,61,89",89,300000,0.22478289913159652,2994
distance,twin,prime,127,300000,0.042476536717702039,2994
distance,twin,prime_non_twin,127,300000,0.048005152590970754,2994
distance,twin,admissible_210,127,300000,0.045455438154604719,2994
distance,twin,admissible_2310,127,300000,0.044929472657878097,2994
filter_mass,twin,"14,23,61,89",127,300000,0.018704074816299265,2994
distance,cousin,prime,27,300000,0.018046348592904861,2975
distance,cousin,prime_non_cousin,27,300000,0.020378373919283644,2975
distance,cousin,admissible_210,27,300000,0.019355915092116399,2975
distance,cousin,admissible_2310,27,300000,0.018894744384110058,2975
filter_mass,cousin,"14,23,61,89",27,300000,0.63394957983193279,2975
distance,cousin,prime,89,300000,0.036564606840543669,2975
distance,cousin,prime_non_cousin,89,300000,0.041289639650491435,2975
distance,cousin,admissible_210,89,300000,0.039051523483786488,2975
distance,cousin,admissible_2310,89,300000,0.038761618704943823,2975
filter_mass,cousin,"14,23,61,89",89,300000,0.23596638655462185,2975
distance,cousin,prime,127,300000,0.042782363705185129,2975
distance,cousin,prime_non_cousin,127,300000,0.048310881298049585,2975
distance,cousin,admissible_210,127,300000,0.045124316340702617,2975
distance,cousin,admissible_2310,127,300000,0.045291288082680944,2975
filter_mass,cousin,"14,23,61,89",127,300000,0.016134453781512605,2975
distance,sexy,prime,27,300000,0.0093284383183131168,6003
distance,sexy,prime_non_sexy,27,300000,0.012129209310852531,6003
distance,sexy,admissible_210,27,300000,0.006710233718071155,6003
distance,sexy,admissible_2310,27,300000,0.0073814256706928837,6003
filter_mass,sexy,"14,23,61,89",27,300000,0.62318840579710144,6003
distance,sexy,prime,89,300000,0.023035340300641183,6003
distance,sexy,prime_non_sexy,89,300000,0.029951472531547913,6003
