generator,backend,integrand,rho_max_min,rho_q95_q05,Z_KS_stat,Z_KS_pvalue,Z_extreme_rate_001,N_eff_ratio_q05,N_eff_ratio_median,N_eff_ratio_q95,verdict
MT19937,cpu,identity,27.926039493085234,6.977641111553298,0.06726473394345811,0.020674827857553466,0.018,0.4976874348449689,1.0689336318013662,3.472682619392838,suspicious
MT19937,cpu,quadratic,32.59082383780589,6.086804787783128,0.04522652197338717,0.25046576373287266,0.026,0.5282969296977003,1.0561845308681348,3.215629590300559,compatible
MT19937,cpu,rare_099,20.92088607594933,5.845572707369132,0.055393459532221634,0.08954075974214948,0.014,0.5256839829675938,1.168658815381236,3.0729228512633284,compatible
MT19937,cpu,sin,31.22016970325556,6.162604001256875,0.037496942198871897,0.4717142972866837,0.014,0.49701460259075425,1.1137360514163213,3.06287809284327,compatible
PCG64,cpu,identity,41.63574400156257,7.120947098471943,0.036831798779006275,0.4947413699493829,0.022,0.48893154493959046,1.071318169070273,3.4817536536481013,compatible
PCG64,cpu,quadratic,28.891387731109223,6.830294593319682,0.038966416886573596,0.42283391211779586,0.02,0.48575064444964716,1.0763842758403075,3.3178199092085716,compatible
PCG64,cpu,rare_099,41.56606012658219,6.982347892649198,0.029613921242502284,0.7612821518692693,0.03,0.46044241240188205,1.109734480043242,3.2149572663219153,compatible
PCG64,cpu,sin,22.31934464219692,6.356736419668698,0.043871219610027934,0.2826380818055053,0.012,0.5168594263805056,1.1092660912087484,3.2855302359864273,compatible
Philox,cpu,identity,27.039785453429143,6.00122649993435,0.0432292106574631,0.29887168805020115,0.012,0.5157602013469111,1.1016905792971685,3.09520755142997,compatible
Philox,cpu,quadratic,35.9435892139225,6.655621968338858,0.02513415927516449,0.9022022958701332,0.016,0.4946960224579948,1.1041562745202365,3.2924888691670473,compatible
Philox,cpu,rare_099,63.74036511156203,7.889285614661508,0.058613586883359936,0.061874917859654155,0.024,0.4900592447043142,1.1555789456298389,3.866369214944673,compatible
Philox,cpu,sin,16.479381510471672,5.945532626281289,0.03872645389798732,0.4306170487210852,0.008,0.5195437773809868,1.0940959200947638,3.088965579217054,compatible
SFC64,cpu,identity,23.970657719681867,6.274063697559016,0.021782736165528005,0.9674949126656266,0.018,0.498624557321473,1.1057880604649986,3.128401608902241,compatible
SFC64,cpu,quadratic,23.26031141311382,6.105537322431367,0.023106590588227893,0.9465853254677818,0.012,0.5109482580719513,1.1115774835470011,3.11962703743747,compatible
SFC64,cpu,rare_099,57.65591397849474,6.344055834481296,0.08850512172403435,0.0007396441802150198,0.022,0.5705517077864034,1.221909310680589,3.6196165656002535,suspicious
SFC64,cpu,sin,29.574822318937322,5.841660864278757,0.028913067557588157,0.7861289341161175,0.018,0.509618177530333,1.0810172349130251,2.977016522665909,compatible
